[0, 4, 4, 1, 3, 2, 0],0.0,0.0,0.0,0.0,0.0,0.0,20.0
[0, 4, 4, 1, 3, 3, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 2, 2, 3, 1, 3],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 2, 0, 3, 1, 3],0.0,0.0,0.0,0.0,0.0,0.0,20.0
[0, 0, 2, 0, 4, 2, 3],20.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 1, 2, 0, 4, 2, 3],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 1, 2, 0, 4, 2, 3],0.0,0.0,0.0,0.0,0.0,20.0,0.0
[0, 1, 2, 0, 4, 2, 4],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 2, 0, 4, 2, 4],0.0,0.0,0.0,0.0,0.0,20.0,20.0
[0, 3, 3, 3, 0, 4, 1],0.0,0.0,0.0,0.0,0.0,0.0,20.0
[0, 3, 1, 3, 0, 4, 1],0.0,0.0,0.0,0.0,20.0,0.0,0.0
[0, 3, 1, 4, 1, 4, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 1, 1, 4, 1, 4, 1],0.0,20.0,0.0,0.0,0.0,0.0,0.0
[2, 1, 1, 4, 1, 4, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 1, 1, 4, 1, 4, 0],0.0,0.0,0.0,0.0,20.0,0.0,0.0
[0, 1, 1, 4, 1, 1, 1],20.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 2, 1, 4, 1, 1, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 2, 3, 4, 2, 1, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 2, 0, 4, 2, 1, 1],0.0,20.0,0.0,0.0,0.0,0.0,0.0
[3, 1, 0, 4, 3, 1, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 2, 0, 1, 2, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 1, 3, 0, 1, 1, 1],0.0,0.0,0.0,20.0,0.0,0.0,0.0
[1, 1, 4, 1, 3, 1, 1],0.0,0.0,0.0,0.0,0.0,0.0,20.0
[1, 1, 4, 1, 2, 2, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 1, 2, 3, 0, 4, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 1, 2, 3, 0, 4, 4],20.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 1, 2, 3, 0, 4, 4],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 1, 2, 2, 1, 1, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 1, 2, 2, 1, 1, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 1, 2, 2, 2, 1, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 1, 0, 2, 2, 1, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 2, 0, 2, 2, 1, 2],0.0,0.0,0.0,0.0,20.0,0.0,0.0
[2, 2, 0, 2, 0, 2, 4],0.0,0.0,0.0,20.0,0.0,0.0,0.0
[2, 2, 0, 3, 0, 2, 4],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 1, 2, 4, 1, 0, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 1, 2, 3, 3, 0, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 3, 2, 3, 3, 0, 0],0.0,20.0,0.0,0.0,0.0,0.0,0.0
[1, 4, 2, 3, 3, 0, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 4, 0, 3, 3, 0, 0],0.0,20.0,20.0,0.0,0.0,0.0,0.0
[3, 4, 0, 4, 3, 0, 0],0.0,20.0,0.0,0.0,0.0,0.0,0.0
[4, 4, 0, 4, 4, 0, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 3, 0, 4, 2, 4, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 3, 0, 4, 2, 1, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 3, 0, 3, 2, 1, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 1, 0, 4, 3, 4, 0],0.0,26.480000000000004,0.0,0.0,0.0,0.0,0.0
[1, 2, 0, 4, 3, 2, 0],0.0,0.0,0.0,0.0,0.0,20.0,0.0
[1, 2, 0, 4, 4, 1, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 1, 0, 0, 0, 2, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 3, 1, 1, 0, 2, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 1, 1, 4, 3, 0],0.0,0.0,38.88,0.0,0.0,0.0,0.0
[1, 3, 2, 2, 4, 3, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 0, 3, 4, 1, 1],0.0,0.0,0.0,0.0,0.0,0.0,56.72817688127213
[1, 1, 0, 4, 4, 2, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 1, 0, 3, 3, 1, 1],0.0,0.0,0.0,0.0,20.0,0.0,0.0
[0, 1, 0, 4, 3, 2, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 3, 0, 2, 3, 2, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 3, 0, 2, 3, 2, 0],0.0,0.0,0.0,0.0,20.0,0.0,0.0
[2, 3, 0, 3, 4, 4, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 0, 0, 4, 4, 2, 2],36.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 0, 0, 4, 4, 2, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 0, 0, 1, 4, 2, 2],0.0,0.0,0.0,0.0,0.0,36.0,0.0
[2, 0, 0, 1, 4, 2, 3],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 0, 0, 1, 2, 2, 3],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 3, 0, 1, 2, 2, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 2, 2, 2, 0, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 2, 0, 2, 0, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 0, 3, 0, 2, 0, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 0, 3, 0, 2, 1, 2],0.0,0.0,0.0,0.0,0.0,0.0,20.0
[1, 0, 3, 0, 3, 1, 4],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 3, 0, 3, 1, 4],0.0,0.0,0.0,20.0,0.0,0.0,0.0
[0, 0, 3, 1, 4, 1, 4],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 3, 1, 4, 1, 1],0.0,0.0,0.0,0.0,20.0,0.0,0.0
[0, 0, 3, 0, 4, 1, 1],0.0,0.0,20.0,0.0,0.0,0.0,0.0
[1, 2, 0, 3, 1, 2, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 2, 0, 4, 0, 2, 0],0.0,0.0,39.6,0.0,0.0,0.0,0.0
[2, 3, 1, 4, 0, 2, 0],0.0,36.0,0.0,0.0,0.0,0.0,0.0
[4, 2, 1, 4, 0, 2, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 2, 3, 2, 2, 1, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 2, 3, 2, 0, 1, 2],0.0,0.0,16.4,0.0,0.0,0.0,0.0
[0, 2, 4, 2, 0, 1, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0, 0, 4, 0, 0, 1, 2],0.0,20.0,0.0,0.0,0.0,0.0,0.0
[1, 1, 4, 0, 0, 1, 2],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 2, 2, 3, 0, 1, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 0, 2, 4, 1, 3, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 0, 2, 3, 1, 3, 1],0.0,0.0,20.0,0.0,0.0,0.0,0.0
[2, 1, 3, 4, 1, 3, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2, 2, 4, 4, 1, 1, 1],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 1, 4, 3, 2, 4, 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1, 0, 4, 3, 2, 4, 0],0.0,0.0,0.0,0.0,0.0,0.0,20.0
[0, 1, 2, 2, 2, 4, 1],0,0,0,0,0,0,0
[0, 2, 4, 2, 0, 4, 1],0,0,0,0,0,0,0
[1, 2, 4, 2, 0, 4, 1],0,0,0,0,0,0,0
[0, 2, 1, 4, 3, 1, 2],0,0,20.0,0,0,0,0
[0, 3, 2, 4, 3, 1, 2],0,0,0,0,0,0,0
[0, 3, 2, 4, 1, 1, 2],0,0,0,0,20.0,0,0
[0, 3, 2, 4, 1, 2, 3],0,0,0,0,0,0,0
[0, 3, 2, 3, 1, 2, 3],0,0,0,0,0,0,0.0
[0, 3, 2, 3, 1, 2, 2],0,0,0,0,0,0,3.6
[1, 4, 0, 3, 0, 2, 2],0,0,0,0,20.0,0,0
[0, 0, 1, 4, 3, 1, 2],0,0,0,0,0,0,23.6
[0, 0, 1, 4, 1, 1, 3],0,0,20.0,0,0,0,0
[0, 4, 3, 2, 1, 1, 0],0,0,0,0,0,20.0,0
[0, 4, 3, 3, 1, 4, 0],0,0,0,0,0,0,0
[0, 4, 3, 3, 1, 0, 0],0,0,0,20.0,0,0,0
[0, 4, 4, 2, 2, 0, 0],0,0,0,0,0,0,0
[0, 1, 4, 3, 4, 0, 0],20.0,0,0,0,0,0,0
[1, 1, 4, 3, 4, 0, 0],0,0,0,20.0,0,0,0
[1, 1, 4, 1, 4, 0, 0],0,0,0,0,0,0,0
[0, 0, 1, 3, 3, 4, 0],20.0,0,0,0,0,0,0
[1, 2, 1, 3, 3, 0, 0],0,0,0,0,20.0,0,0
[0, 3, 2, 3, 2, 0, 0],0,0,20.0,0,0,0,0
[0, 4, 2, 1, 2, 0, 0],0,0,20.0,0,0,0,0
[0, 4, 0, 2, 2, 0, 0],0,0,20.0,0,0,0,0
[0, 3, 0, 2, 2, 0, 0],0,0,0,36.0,0,0,0.0
[1, 4, 0, 2, 2, 1, 1],0,0,0,20.0,0,0,0
[1, 4, 0, 3, 4, 1, 1],0,0,0,0,0,0,0
[0, 1, 2, 2, 0, 1, 4],0,0,0,0,0,0,0
[0, 0, 2, 3, 1, 0, 0],0,0,0,20.0,0,0,0
[0, 0, 4, 2, 3, 0, 0],0,0,0,0,0,0,0
[0, 0, 4, 2, 0, 0, 0],0,0,0,36.0,0,0,0
[0, 0, 4, 3, 1, 0, 0],0,0,0,0,0,0,0
[0, 0, 4, 3, 0, 0, 0],0,0,0,0,55.928,0,0
[0, 0, 4, 4, 1, 0, 0],0,0,0,0,0,0,0
[0, 0, 4, 4, 2, 0, 0],0,39.6,0,0,0,0,0
[0, 1, 4, 4, 2, 0, 0],0,23.6,0,0,0,0,0
[0, 0, 2, 3, 3, 1, 4],0,0,0,0,0,0,0
[0, 1, 0, 2, 0, 4, 2],42.42240000000001,0,0,0,0,0,0
[1, 3, 0, 2, 0, 4, 2],0,0,0,0,0,0,0
[0, 3, 0, 2, 0, 4, 2],0,0,0,0,36.0,0,0
[0, 3, 0, 2, 1, 4, 2],0,0,20.0,0,0,0,0
[0, 3, 1, 2, 1, 4, 2],0,0,0,0,0,0,0
[0, 3, 1, 2, 1, 3, 2],0,0,0,0,0,20.0,0
[0, 3, 1, 2, 0, 4, 2],20.0,0,0,0,0,0,0
[0, 0, 0, 2, 1, 3, 0],0,0.4147200000000001,0,0,130.77294571527034,0,0
[0, 0, 1, 1, 2, 4, 2],0,0,0,0,0,0,55.28
[0, 0, 1, 1, 2, 4, 3],0,0,0,0,36.0,0,0
[0, 0, 1, 2, 3, 4, 3],0,0,0,0,0,0,0
[0, 0, 1, 1, 3, 4, 3],20.0,0,0,0,0,0,0
[2, 1, 1, 1, 3, 4, 3],0,0,0,0,20.0,0,0
[2, 1, 1, 2, 4, 4, 3],0,0,0,0,0,0,0
[1, 0, 1, 1, 2, 1, 0],0,0,0,0,0,0,0
[1, 0, 2, 2, 1, 1, 0],0,0,0,0.0,0.0,0,0
[1, 0, 2, 3, 1, 1, 0],0,0,0,0,0,0,0
[0, 1, 3, 0, 1, 3, 0],0,36.0,0,0,0,0,0
[2, 1, 4, 0, 1, 3, 0],20.0,0,0,0,0,0,0
[1, 2, 4, 0, 1, 3, 0],0,0,0,0,0,0,0
[1, 2, 2, 1, 3, 1, 0],0,0,0,0,0,0,0.0
[1, 2, 0, 2, 3, 1, 1],0,0,0.0,0,20.0,0,0
[1, 2, 0, 4, 1, 1, 1],0,0,0,0,0,0,0
[0, 2, 0, 4, 1, 1, 1],0,0,0,0,0,20.0,0
[0, 2, 0, 4, 2, 1, 2],0,0,0,0,0,0,0
[0, 1, 1, 4, 0, 0, 1],0,20.0,0,0,0,0,0
[1, 3, 1, 4, 0, 0, 1],0,0,0,0,0,20.0,0
[1, 3, 1, 4, 1, 1, 1],0,0,0,0,0,0,0
[1, 3, 0, 4, 1, 1, 1],0,0,0,0,39.6,0,0
[1, 0, 0, 4, 2, 1, 1],0,0,0,0,0,23.6,0
[1, 0, 0, 4, 3, 1, 4],0,0,0,0,0,0,0
[0, 0, 0, 4, 1, 1, 4],20.0,0,0,0,0,0,0
[1, 0, 0, 4, 1, 1, 4],0,0,0,0,0,0,0
[1, 0, 0, 4, 1, 1, 1],0,20.0,0,0,0,0,0
[2, 1, 2, 4, 1, 1, 1],0,0,0,0,0,0,0
[2, 0, 2, 4, 1, 1, 1],0,0,20.0,0,0,0,0
[0, 0, 1, 3, 0, 4, 0],0,0,0,65.7776,0,0,0
[0, 0, 3, 3, 0, 4, 0],0,36.0,0,0,0,0,0
[0, 1, 3, 3, 0, 4, 0],0,48.8,0,0,0,0,0
[1, 2, 4, 3, 0, 4, 0],0,0,0,0,0,0,0
[1, 2, 2, 3, 0, 4, 0],0,0,0,0,0,0,36.0
[1, 4, 2, 3, 0, 4, 0],0,0,0,0,0,0,0
[0, 1, 2, 0, 2, 4, 2],0,0,0,0,0,0,0
[1, 3, 2, 0, 0, 4, 3],0,0,20.0,0,0,0,0
[1, 4, 3, 0, 0, 4, 3],0,0,0,0,0,0,0
[1, 4, 3, 0, 0, 2, 3],0,0,0,0,0,20.0,0
[1, 4, 3, 0, 2, 2, 3],0,0,0,0,0,0,0
[2, 2, 1, 0, 0, 1, 0],0.0,0,0,0,0,0.0,0
[2, 2, 1, 0, 0, 1, 2],0,0,0,0,0,0,0
[2, 0, 1, 0, 0, 1, 2],0,0,0.0,0,0,0,0
[2, 1, 2, 0, 0, 1, 2],0,0.0,0,0,0,0,0
[2, 1, 3, 0, 0, 1, 2],0,0,0,0,0,0,0
[2, 1, 0, 0, 0, 1, 2],0,0,0,0,0,0,0.0
[2, 0, 0, 0, 0, 2, 1],0,0,0,0,0,0,0.0
[2, 0, 0, 0, 0, 3, 2],0,0,0,0.0,0,0,0
[2, 0, 1, 1, 0, 3, 2],0,0,0,0,0,0.0,0
[1, 2, 1, 4, 4, 1, 0],20.0,0,0,0,0,0,0
[1, 3, 1, 4, 4, 1, 0],0,0,0,0,0,0,0
[0, 3, 1, 4, 4, 1, 2],0,0,0,0,0,0,20.0
[0, 3, 1, 4, 4, 1, 3],0,0,0,20.0,0,0,0
[0, 4, 1, 4, 4, 1, 3],0,0,0,0,0,0,0
[0, 3, 0, 2, 0, 4, 0],0,0,0,0,20.0,0,0
[0, 3, 0, 3, 1, 4, 0],39.6,20.0,0,0,0,0,23.6
[1, 3, 0, 3, 1, 4, 0],0,0,0,0,0,0,0
[0, 4, 0, 3, 1, 4, 0],0,0,0,0,0,0,0
[0, 0, 2, 3, 3, 3, 1],0,0,0,0,0,0,0
[0, 0, 0, 3, 3, 3, 1],0,0,20.0,0,0,0,0
[0, 1, 1, 4, 3, 3, 1],0,0,0,0,0,0,0
[0, 1, 1, 4, 3, 4, 1],0,0,0,0,0,0,20.0
[0, 1, 1, 4, 3, 4, 2],0,20.0,0,0,0,0,0
[0, 2, 1, 4, 3, 4, 2],0,0,0,0,0,0,0
[1, 2, 0, 3, 0, 3, 1],0,0,0,0,16.0,0,0
[2, 4, 2, 1, 1, 3, 1],0,0,0,0,0,0,0
[2, 4, 2, 1, 0, 3, 1],0,0,0,20.0,0,0,0
[2, 4, 2, 2, 0, 3, 1],0,0,0,0,0,0,0
[1, 2, 2, 2, 0, 2, 1],0,0,0,0,0,16.0,0
[0, 0, 0, 3, 2, 0, 1],0,0,36.0,0,0,0,0
[0, 1, 1, 4, 2, 0, 1],0,0,0,0,20.0,0,0
[2, 1, 2, 0, 0, 1, 0],0,0,3.6,0,0,0,0
[3, 0, 2, 0, 0, 1, 0],3.6,0,0,0,0,0,0
[4, 1, 1, 0, 0, 1, 0],0,0,0,0,0,0,20.0
[4, 1, 1, 0, 0, 2, 1],0,0,0,0,20.0,0,0
[4, 1, 1, 1, 1, 2, 1],0,0,0,0,0,0,0
[3, 1, 1, 1, 1, 2, 1],0,0,0,0.0,0,0,0
[3, 1, 2, 2, 1, 2, 1],0,0,0,0,0,0,0
[1, 1, 3, 2, 0, 1, 1],0,0,0,0,0,0,0
[2, 1, 0, 2, 0, 1, 1],0,0,0,0,0.0,0,0
[2, 0, 0, 2, 0, 1, 1],0,0,0,0.0,0,0,0
[1, 1, 1, 3, 2, 4, 0],0,0,0,0,0,0,0
[1, 1, 0, 3, 3, 4, 0],0,0,20.0,0,0,0,0
[1, 2, 1, 3, 3, 4, 0],0,0,0,0,0,0,0
[1, 2, 1, 3, 3, 3, 2],0,0,0,0,0,0,0
[1, 2, 1, 3, 4, 3, 2],0,0,0,0,0,0,0
[1, 0, 2, 3, 1, 3, 1],0,0,0,0,0,27.128,0
[1, 0, 0, 3, 1, 0, 1],0,0,0,0,0.0,0,0
[0, 0, 0, 3, 1, 0, 1],0,0,20.0,0,0,0,0
[0, 1, 1, 4, 1, 0, 1],0,0,0,0,0,0,0
[2, 1, 0, 2, 2, 0, 1],0,0,0,0,0,0,0
[2, 0, 0, 2, 2, 0, 1],0,0,0,0,0,0.0,0
[2, 0, 0, 3, 3, 1, 3],0,0,0,0,0,0,0
[2, 0, 0, 2, 3, 1, 3],0,0,0.0,0,0,0,0
[2, 0, 3, 2, 3, 1, 3],0,0,0,0,0,0,0
[1, 0, 3, 2, 3, 1, 3],0,0,0.0,0,0,0,0
[1, 0, 3, 3, 3, 1, 3],0,0,0,0,0,0,0
[1, 0, 3, 1, 3, 1, 3],0,0,0,0,0,20.0,0
[1, 0, 3, 1, 4, 2, 3],0,0,0,0,20.0,0,0
[2, 0, 3, 1, 4, 2, 3],20.0,0,0,0,0,0,0
[2, 3, 0, 2, 1, 4, 0],0,0,0,0,0,0,0
[1, 2, 1, 4, 3, 2, 0],0,20.0,0,0,0,0,0
[2, 3, 1, 4, 3, 2, 0],0,0,20.0,0,0,0,0
[2, 3, 1, 4, 3, 3, 0],0,0,0,0,0,20.0,0
[2, 3, 1, 4, 3, 2, 2],0,0,0,0,0,0,0
[2, 3, 1, 4, 3, 0, 2],0,0,0,0,20.0,0,0
[2, 3, 1, 4, 4, 1, 2],0,0,0,0,0,0,0
[0, 2, 1, 0, 0, 1, 1],0.0,0,0,0,0,0,0
[1, 2, 0, 0, 1, 2, 0],0,0,0,0,0,0,0.0
[1, 2, 0, 0, 1, 3, 1],0,0,0,0,0,0,0.0
[1, 2, 0, 0, 1, 3, 2],0,0,0.0,0,0,0,0
[1, 3, 1, 0, 1, 3, 2],0,0,0,0.0,0,0,0
[1, 3, 2, 1, 3, 3, 2],0,0,0,0,0,0,0
[1, 3, 2, 0, 3, 3, 2],0.0,0,0,0,0,0,0
[0, 3, 2, 0, 3, 3, 2],0,0,0,0,0,0,0
[1, 1, 0, 2, 1, 2, 2],0,0,0,0,0,0,0
[1, 1, 3, 2, 1, 2, 0],0,0,0,0,0,0,0
[1, 1, 3, 1, 1, 2, 3],0,0,0,0,0,0,0
[1, 1, 1, 1, 1, 2, 3],0,0.0,0,0,0,0.0,0
[1, 1, 1, 1, 2, 2, 3],0,0,0,0,0,0,0
[0, 2, 3, 2, 4, 1, 0],0,0,0,20.0,0,0,0
[0, 2, 0, 2, 4, 1, 0],0,20.0,0,0,0,0,0
[0, 1, 0, 2, 4, 1, 0],0,0,0,0,0,0,0
[0, 1, 0, 2, 4, 0, 0],0,0,0,0,23.6,0,0
[0, 1, 0, 4, 1, 1, 0],0,0,0,0,20.0,0,0
[0, 1, 0, 4, 2, 1, 0],0,0,0,0,0,0,0
[0, 1, 0, 4, 2, 1, 2],20.0,0,0,0,0,0,0
[2, 1, 0, 4, 2, 1, 2],0,0,0,0,0,0,0
[0, 1, 0, 2, 2, 0, 1],0,0,0,0,0,0.0,0
[0, 1, 0, 3, 3, 1, 3],0,0.0,0,0,0,0,0
[0, 2, 1, 3, 3, 1, 3],0,0,0,0,0,0,0
[0, 2, 1, 2, 3, 1, 3],0,0,0.0,0,0,0,0
[0, 3, 1, 2, 3, 1, 3],0,0,0,0.0,0,0,0
[0, 3, 3, 2, 3, 1, 3],0,0,0,0,0,0,0
[0, 0, 3, 2, 3, 1, 3],0,0,0,0,0,20.0,0
[0, 0, 3, 2, 4, 2, 3],0,0,0,0,0,0,0
[0, 0, 3, 0, 4, 2, 3],0,0,0,0,0,0,20.0
[0, 0, 3, 0, 4, 2, 4],0,0,0,0,0,0,0
[1, 0, 1, 3, 2, 2, 0],0,0,20.0,0,0,0,0
[1, 1, 1, 4, 2, 2, 0],0,0,0,0,0,0,0
[1, 3, 1, 1, 2, 2, 0],0,0,0,0,0.0,0,0
[1, 3, 1, 2, 3, 3, 0],0,0,0,0,0,0,0
[1, 0, 2, 4, 0, 1, 0],20.0,0,0,0,0,0,0
[2, 0, 2, 4, 0, 1, 0],0,0,0,0,0,0,0
[2, 0, 0, 4, 0, 1, 0],0,0,0,7.763040000000001,0,0,0
[2, 0, 2, 3, 0, 0, 0],3.6,0,0,0,0,0,0
[4, 1, 4, 3, 0, 0, 0],0,0,0,20.0,0,0,0
[1, 1, 1, 4, 0, 3, 4],0,0,0,0,0,0,0
[0, 0, 0, 2, 2, 4, 1],55.28,0,0,20.0,0,0,0
[1, 0, 0, 2, 2, 4, 1],0,0,0,0,0,0,0
[1, 0, 0, 2, 0, 4, 1],0,0,0,20.0,0,0,0
[1, 0, 2, 2, 0, 4, 1],0,0,0,0,0,0,0
[0, 4, 0, 3, 1, 1, 0],0,0,0,40.248000000000005,0,0,0
[0, 3, 0, 3, 2, 1, 1],0,0.0,0,0,0,0,0
[2, 1, 2, 2, 1, 2, 0],0,0,0,0,0,0,0
[2, 1, 3, 3, 2, 3, 0],0,0,0,0,0,0,0
[2, 0, 3, 3, 2, 3, 0],0.0,0,0,0,0,0,0
[3, 0, 3, 3, 2, 3, 0],0,0,0,0,0,0,0
[3, 0, 3, 3, 2, 1, 0],0,0,0,20.0,0,0,0
[3, 0, 4, 3, 2, 1, 0],0,0,0,0,0,0,0
[3, 0, 4, 0, 2, 1, 0],0,0,0,0,0,20.0,0
[3, 0, 4, 0, 3, 1, 0],0,0,0,0,0,0,0
[0, 0, 2, 3, 0, 4, 2],0,0,48.8,0,0,0,0
[0, 1, 4, 3, 0, 4, 2],0,0,0,0,0,0,0
[0, 1, 0, 3, 0, 4, 2],0,42.480000000000004,0,0,0,0,0
[0, 1, 3, 2, 4, 0, 0],0,0,0,0,0,0,20.0
[0, 1, 3, 2, 4, 1, 1],0,0,0,0,0,20.0,0
[0, 1, 3, 2, 4, 2, 1],0,0,0,0,20.0,0,0
[0, 1, 3, 3, 4, 2, 1],0,0,0,0,0,0,0
[1, 1, 1, 3, 0, 0, 0],0,0,0,6.48,0,0,0
[0, 1, 3, 3, 0, 0, 0],0,0,0,38.88,0,0,0
[0, 0, 4, 4, 1, 2, 0],0,0,0,58.808,0,0,0
[1, 1, 0, 2, 0, 4, 1],0,26.480000000000004,0,0,0,0,0
[0, 4, 2, 3, 0, 2, 0],0,0,0,0,0,0,0
[0, 4, 0, 3, 2, 2, 0],0,0,0,20.0,0,0,0
[0, 4, 0, 3, 2, 1, 0],0,0,0,0,20.0,0,0
[0, 4, 0, 4, 1, 1, 0],0,0,0,23.6,0,0,0
[1, 0, 0, 2, 2, 2, 2],0,0,0,0,3.6,0,0
[1, 2, 1, 3, 1, 1, 0],0,0,0,0,0,3.6,0
[0, 2, 0, 4, 2, 2, 0],0,0,0,0,20.0,0,0
[0, 2, 0, 4, 3, 2, 0],0,0,0,0,20.0,0,0
[0, 0, 0, 4, 3, 2, 0],67.824,0,0,0,0,0,20.0
[1, 1, 0, 4, 3, 2, 0],20.0,0,0,0,0,0,0
[2, 3, 0, 4, 3, 2, 0],0,0,0,0,0,0,0
[0, 3, 0, 4, 3, 2, 0],0,20.0,0,0,0,0,20.0
[0, 2, 0, 4, 4, 2, 0],0,20.0,0,0,0,0,0
[0, 0, 0, 2, 3, 0, 0],0.0,0.0,0,0,0,0,0.0
[1, 0, 0, 2, 3, 0, 0],0,0,0,0,0,0,0
[1, 0, 2, 3, 3, 0, 0],0,0,0,0,0,0,0
[1, 1, 1, 4, 0, 3, 3],0,0,0,0,0,0,0
[0, 1, 1, 4, 0, 3, 3],0,0,0,0.0,0,0,0
[0, 0, 2, 3, 0, 3, 1],0,0,20.0,0,0,0,0
[0, 0, 4, 3, 0, 3, 1],0,0,0,36.0,0,0,0
[0, 2, 3, 0, 1, 0, 0],0,0,0,0,0,0.0,0
[0, 2, 3, 0, 2, 1, 1],0,0,0,0,20.0,0,0
[0, 2, 3, 0, 4, 1, 3],0,0,0,0,0,20.0,0
[0, 2, 3, 0, 4, 0, 4],0,0,20.0,0,0,0,0
[0, 2, 3, 0, 4, 0, 1],0,0,0,0,0,0,36.0
[0, 2, 3, 0, 4, 0, 2],0,0,0,0,0,0,0
[0, 2, 2, 2, 3, 3, 0],0,0,0,0,0,0,0
[0, 0, 2, 3, 4, 3, 0],0,0,0,0,0,0,0
[0, 0, 0, 2, 4, 3, 0],61.92,0,0,0,0,0,0
[1, 0, 0, 2, 4, 3, 0],0,0,0,0,29.302400000000002,0,0
[1, 0, 0, 2, 4, 0, 0],0,20.0,0,0,0,0,0
[2, 1, 0, 2, 4, 0, 0],0,0,0,0,0.0,0,0
[2, 1, 0, 2, 4, 1, 0],0,0,20.0,0,0,0,0
[2, 2, 1, 4, 4, 1, 0],0,0,0,0,0,0,0
[1, 2, 1, 0, 1, 1, 0],0,0.0,0,0,0,0,0.0
[2, 3, 0, 0, 0, 2, 1],0,0,0.0,0,0,0,0
[2, 3, 1, 1, 0, 2, 1],0,0,0,0,0,0,0
[2, 3, 1, 0, 0, 2, 1],0,0,0,0,0.0,0,0
[2, 3, 1, 1, 1, 2, 1],0,0,0,0,0,0,0
[1, 3, 1, 2, 1, 1, 0],0,20.0,0,0,0.0,0,0
[1, 3, 1, 2, 0, 1, 0],0,0,0,0,0.0,0,0
[1, 3, 0, 2, 0, 1, 0],0,0,0,0,0,0,0.0
[1, 3, 1, 2, 0, 1, 1],0,0,0,0,0,0,0
[2, 3, 0, 2, 0, 3, 1],0,0,0,0,0,0,0
[0, 1, 0, 1, 0, 4, 1],39.6,0,0,0,0,0,0
[1, 1, 0, 1, 0, 4, 1],0,0,0,0,0,0,0
